Scenario,Context Size,NLLH_TabPFN_mean,NLLH_TabPFN_SE,NLLH_DistNet_mean,NLLH_DistNet_SE,CRPS_TabPFN_mean,CRPS_TabPFN_SE,CRPS_DistNet_mean,CRPS_DistNet_SE,Wasserstein_TabPFN_mean,Wasserstein_TabPFN_SE,Wasserstein_DistNet_mean,Wasserstein_DistNet_SE,KS_TabPFN_mean,KS_TabPFN_SE,KS_DistNet_mean,KS_DistNet_SE
yalsat_qcp,32,-0.0174,0.0023,6.0937,0.0273,0.3445,0.0016,2.2313,0.0057,0.3672,0.0024,2.7861,0.0064,0.2454,0.0006,0.8359,0.0008
yalsat_qcp,64,-0.1328,0.0014,8.1136,0.0273,0.3091,0.0012,2.9939,0.0055,0.3039,0.0022,3.6338,0.0061,0.2048,0.0005,0.9124,0.0006
yalsat_qcp,128,-0.209,0.001,4.9041,0.0217,0.2898,0.001,3.24,0.0052,0.2214,0.0017,4.2282,0.0065,0.173,0.0004,0.8984,0.0006
yalsat_qcp,256,-0.2548,0.0009,1.6434,0.006,0.2766,0.0008,2.7068,0.0042,0.1563,0.001,4.9528,0.0083,0.148,0.0003,0.7141,0.0006
yalsat_qcp,512,-0.2784,0.0008,1.3494,0.0028,0.2705,0.0007,2.2855,0.0044,0.1283,0.0008,4.4471,0.0094,0.1346,0.0003,0.6474,0.0007
yalsat_qcp,1024,-0.2952,0.0007,0.1364,0.0026,0.2666,0.0007,0.5874,0.003,0.1113,0.0006,0.9044,0.0065,0.1237,0.0002,0.296,0.0008
yalsat_qcp,2048,-0.3081,0.0007,-0.2203,0.0011,0.264,0.0007,0.2856,0.0009,0.0991,0.0005,0.1707,0.0011,0.1155,0.0002,0.166,0.0004
yalsat_qcp,4096,-0.317,0.0007,-0.247,0.0011,0.2624,0.0007,0.2775,0.0009,0.0906,0.0005,0.1446,0.001,0.1096,0.0002,0.147,0.0003
yalsat_qcp,8192,-0.3205,0.0007,-0.2635,0.0009,0.2614,0.0007,0.2721,0.0008,0.0863,0.0005,0.1263,0.0008,0.1071,0.0002,0.1347,0.0003
yalsat_qcp,10192,-0.3214,0.0007,-0.2664,0.001,0.2612,0.0007,0.2708,0.0008,0.0854,0.0004,0.1219,0.0008,0.1066,0.0002,0.1319,0.0003
yalsat_qcp,12192,-0.3214,0.0007,-0.2686,0.0009,0.2611,0.0007,0.2701,0.0008,0.0849,0.0004,0.12,0.0008,0.1064,0.0002,0.1299,0.0003
yalsat_swgcp,32,0.1381,0.0018,6.5762,0.0231,0.5311,0.0011,2.093,0.0038,0.4931,0.0016,2.5589,0.0045,0.2689,0.0006,0.8024,0.0008
yalsat_swgcp,64,0.0473,0.0017,6.1703,0.0198,0.5075,0.0011,2.3548,0.0041,0.4189,0.0015,2.9147,0.005,0.2363,0.0006,0.8281,0.0007
yalsat_swgcp,128,-0.0078,0.0016,3.0226,0.0109,0.4919,0.0011,2.2357,0.0045,0.3667,0.0014,3.0271,0.0062,0.2125,0.0005,0.753,0.0008
yalsat_swgcp,256,-0.0397,0.0016,0.9413,0.0028,0.4828,0.0011,1.761,0.0044,0.3386,0.0014,3.0193,0.0088,0.1978,0.0005,0.5531,0.0008
yalsat_swgcp,512,-0.0548,0.0016,0.6394,0.0027,0.4789,0.0011,1.4026,0.0048,0.3215,0.0014,2.3647,0.0102,0.1893,0.0005,0.4412,0.0009
yalsat_swgcp,1024,-0.0629,0.0016,0.2715,0.0025,0.4769,0.0011,0.8441,0.0034,0.3124,0.0014,1.1448,0.0073,0.185,0.0005,0.3048,0.0009
yalsat_swgcp,2048,-0.0673,0.0016,-0.0118,0.0018,0.4755,0.0011,0.4884,0.0011,0.3076,0.0014,0.3505,0.0014,0.1824,0.0005,0.2084,0.0005
yalsat_swgcp,4096,-0.0688,0.0016,-0.0313,0.0017,0.475,0.0011,0.4825,0.0011,0.3062,0.0014,0.3337,0.0014,0.1812,0.0005,0.1986,0.0005
yalsat_swgcp,8192,-0.0696,0.0015,-0.041,0.0016,0.4746,0.0011,0.4794,0.0011,0.3068,0.0014,0.3257,0.0014,0.1806,0.0005,0.194,0.0005
yalsat_swgcp,10192,-0.07,0.0015,-0.0438,0.0016,0.4746,0.0011,0.4785,0.0011,0.3071,0.0014,0.3232,0.0014,0.1804,0.0005,0.1926,0.0005
yalsat_swgcp,12192,-0.0699,0.0015,-0.0452,0.0016,0.4746,0.0011,0.4779,0.0011,0.3069,0.0014,0.3213,0.0014,0.1803,0.0005,0.1917,0.0005
