Scenario,Context Size,NLLH_TabPFN_mean,NLLH_TabPFN_std,NLLH_DistNet_mean,NLLH_DistNet_std,CRPS_TabPFN_mean,CRPS_TabPFN_std,CRPS_DistNet_mean,CRPS_DistNet_std,Wasserstein_TabPFN_mean,Wasserstein_TabPFN_std,Wasserstein_DistNet_mean,Wasserstein_DistNet_std,KS_TabPFN_mean,KS_TabPFN_std,KS_DistNet_mean,KS_DistNet_std
yalsat_qcp,128,-0.209,0.2543,4.9041,5.267,0.2898,0.2345,3.24,1.2568,0.2214,0.4082,4.2282,1.5749,0.173,0.095,0.8984,0.1499
yalsat_qcp,256,-0.2548,0.2086,1.6434,1.4635,0.2766,0.1978,2.7068,1.0056,0.1563,0.2522,4.9528,2.0122,0.148,0.0757,0.7141,0.1449
yalsat_qcp,512,-0.2784,0.1889,1.3494,0.6775,0.2705,0.1813,2.2855,1.0622,0.1283,0.1853,4.4471,2.2809,0.1346,0.0658,0.6474,0.1583
yalsat_qcp,1024,-0.2952,0.1787,0.1364,0.6198,0.2666,0.1727,0.5874,0.7305,0.1113,0.155,0.9044,1.5692,0.1237,0.0572,0.296,0.1958
yalsat_qcp,2048,-0.3081,0.1719,-0.2203,0.2718,0.264,0.1671,0.2856,0.2284,0.0991,0.133,0.1707,0.2711,0.1155,0.051,0.166,0.0916
yalsat_qcp,4096,-0.317,0.1688,-0.247,0.2721,0.2624,0.1641,0.2775,0.2116,0.0906,0.1196,0.1446,0.2368,0.1096,0.0466,0.147,0.0792
yalsat_qcp,8192,-0.3205,0.1648,-0.2635,0.2237,0.2614,0.162,0.2721,0.196,0.0863,0.1109,0.1263,0.2041,0.1071,0.0436,0.1347,0.0696
yalsat_qcp,10192,-0.3214,0.1639,-0.2664,0.237,0.2612,0.1613,0.2708,0.1934,0.0854,0.1084,0.1219,0.1955,0.1066,0.0429,0.1319,0.0667
yalsat_qcp,12192,-0.3214,0.1635,-0.2686,0.2223,0.2611,0.1611,0.2701,0.1915,0.0849,0.1075,0.12,0.1919,0.1064,0.0426,0.1299,0.0649
yalsat_swgcp,32,0.1381,0.4147,6.5762,5.4642,0.5311,0.2637,2.093,0.8925,0.4931,0.3679,2.5589,1.0734,0.2689,0.148,0.8024,0.192
